totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,5,3,20,11,10,6,be.dzenali.gamification.data.HealthPoints,HealthPointsTest
1,1,5,5,17,15,8,5,be.dzenali.gamification.data.StatBlock,StatBlockTest
