id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
42,eda1acdb-c4bb-4425-a39f-4c25a998e739,1,1,8,8,14,14,0,0,be.dzenali.gamification.data.Coords,CoordsTest,SOLO,2026-04-16 10:06:05.614
43,70e85b5e-92d4-498a-9079-ba881f5b3b82,1,1,23,11,44,24,10,2,be.dzenali.gamification.entity.Player,PlayerTest,TEAM,2026-04-16 10:06:14.574
44,eda1acdb-c4bb-4425-a39f-4c25a998e739,1,1,5,5,20,20,10,10,be.dzenali.gamification.data.HealthPoints,HealthPointsTest,SOLO,2026-04-16 10:09:06.871
45,fb270a09-6a45-4eae-8f9a-3c808faec3ee,1,1,4,4,4,4,6,3,be.dzenali.gamification.entity.monster.Dragon,DragonTest,TEAM,2026-04-16 10:10:48.276
46,eda1acdb-c4bb-4425-a39f-4c25a998e739,1,1,5,3,17,14,8,4,be.dzenali.gamification.data.StatBlock,StatBlockTest,SOLO,2026-04-16 10:14:40.324
47,7234f6dc-a316-4576-8453-6e10d7cf1c3d,1,1,12,10,20,17,2,1,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 10:15:53.928
48,7234f6dc-a316-4576-8453-6e10d7cf1c3d,1,0,8,0,22,0,0,0,be.dzenali.gamification.builders.MonsterBuilder,MonsterTest,SOLO,2026-04-16 10:15:53.937
49,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,4,4,4,4,6,4,be.dzenali.gamification.entity.monster.Dragon,DragonTest,SOLO,2026-04-16 10:16:56.129
50,7234f6dc-a316-4576-8453-6e10d7cf1c3d,1,1,12,11,20,19,2,1,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 10:19:21.749
51,7234f6dc-a316-4576-8453-6e10d7cf1c3d,1,0,8,0,22,0,0,0,be.dzenali.gamification.builders.MonsterBuilder,MonsterTest,SOLO,2026-04-16 10:19:21.762
52,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,4,4,4,4,6,6,be.dzenali.gamification.entity.monster.Dragon,DragonTest,SOLO,2026-04-16 10:21:31.879
53,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,4,4,4,4,6,6,be.dzenali.gamification.entity.monster.Dragon,DragonTest,SOLO,2026-04-16 10:22:25.205
54,bcec21aa-2246-4ee8-9f2a-3998a5cde697,2,2,7,5,18,12,8,4,be.dzenali.gamification.item.Armor,ArmorTest,TEAM,2026-04-16 10:24:12.791
55,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,5,2,6,3,4,1,be.dzenali.gamification.entity.monster.Ork,OrkTest,SOLO,2026-04-16 10:26:47.379
56,fb270a09-6a45-4eae-8f9a-3c808faec3ee,1,1,4,4,4,4,6,3,be.dzenali.gamification.entity.monster.Dragon,DragonTest,TEAM,2026-04-16 10:26:52.959
57,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,5,4,6,5,4,1,be.dzenali.gamification.entity.monster.Ork,OrkTest,SOLO,2026-04-16 10:30:43.785
58,11555248-3f01-4d1c-9a71-ef7caf9150fa,1,1,5,4,6,5,4,1,be.dzenali.gamification.entity.monster.Ork,OrkTest,SOLO,2026-04-16 10:30:58.120
