user,uploads,jacoco,jacoco_valid,pitest,pitest_valid,game_mode
11555248-3f01-4d1c-9a71-ef7caf9150fa,../../generated/reports-no-bug\11555248-3f01-4d1c-9a71-ef7caf9150fa,../../generated/reports-no-bug\11555248-3f01-4d1c-9a71-ef7caf9150fa\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\11555248-3f01-4d1c-9a71-ef7caf9150fa\Pitest\mutations.xml,False,SOLO
960ad9f8-2b83-4526-9cfb-1a59cec049a6,../../generated/reports-no-bug\960ad9f8-2b83-4526-9cfb-1a59cec049a6,../../generated/reports-no-bug\960ad9f8-2b83-4526-9cfb-1a59cec049a6\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\960ad9f8-2b83-4526-9cfb-1a59cec049a6\Pitest\mutations.xml,False,SOLO
