achievement,count
Add1TestAchievement,12
Add10TestsAchievement,9
Cover10LinesAchievement,8
Kill10MutantsAchievement,7
Kill1MutantAchievement,7
Kill5MutantsAchievement,7
Kill25MutantsAchievement,5
Add20TestsAchievement,5
Cover33LinesAchievement,4
CleanDragonAchievement,3
Kill66MutantsAchievement,2
Kill75MutantsAchievement,1
