user,created_at,last_update,uploads_count,activity_count
a387c54c-b5e0-4f3c-b4aa-6f79579007a4,2026-04-16 11:14:25.132000+02:00,2026-04-16 11:14:25.132000+02:00,0,0.0
d37be827-99be-44be-8586-54bba37a59ce,2026-04-16 11:19:50.180000+02:00,2026-04-16 11:19:50.180000+02:00,0,0.0
