user,game_mode,survived,killed,mutants_count,mutation_coverage
0947a22a-ec40-4f49-867b-330a623a1a35,TEAM,155,142,297,0.4781144781144781
0d271530-be17-4538-bf04-dde3c6069b5f,SOLO,271,26,297,0.08754208754208755
11555248-3f01-4d1c-9a71-ef7caf9150fa,SOLO,282,15,297,0.050505050505050504
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,SOLO,286,11,297,0.037037037037037035
70e85b5e-92d4-498a-9079-ba881f5b3b82,TEAM,263,34,297,0.11447811447811448
7234f6dc-a316-4576-8453-6e10d7cf1c3d,SOLO,226,71,297,0.23905723905723905
84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,SOLO,243,54,297,0.18181818181818182
960ad9f8-2b83-4526-9cfb-1a59cec049a6,SOLO,268,29,297,0.09764309764309764
bcec21aa-2246-4ee8-9f2a-3998a5cde697,TEAM,286,11,297,0.037037037037037035
c27240eb-52c0-4436-aa0f-e7f97a94a725,TEAM,237,60,297,0.20202020202020202
eda1acdb-c4bb-4425-a39f-4c25a998e739,SOLO,267,30,297,0.10101010101010101
fb270a09-6a45-4eae-8f9a-3c808faec3ee,TEAM,280,17,297,0.05723905723905724
