Action,Name,GameMode,Timestamp
joinTeam,TEH,TEAM,2026-04-16 11:52:00.28
joinTeam,TEH,TEAM,2026-04-16 11:55:21.421
joinTeam,TEH,TEAM,2026-04-16 12:07:44.835
